round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Sweet Sixteen,Midwest,2,Duke,81,11,Connecticut,67,14,1991
Sweet Sixteen,Midwest,4,"St. John's, New York",91,1,Ohio State,74,17,1991
Elite Eight,Southeast,3,Kansas,93,1,Arkansas,81,12,1991
Elite Eight,West,1,Nevada-Las Vegas,77,3,Seton Hall,65,12,1991
Elite Eight,East,1,North Carolina,75,10,Temple,72,3,1991
Elite Eight,Midwest,2,Duke,78,4,"St. John's, New York",61,17,1991
National Semifinals,National Semifinals,2,Duke,79,1,Nevada-Las Vegas,77,2,1991
National Semifinals,National Semifinals,3,Kansas,79,1,North Carolina,73,6,1991
National Championship,National Championship,2,Duke,72,3,Kansas,65,7,1991
Round of 64,East,1,Duke,82,16,Campbell,56,26,1992
Round of 64,East,4,Seton Hall,78,13,La Salle,76,2,1992
Round of 64,East,5,Missouri,89,12,West Virginia,78,11,1992
Round of 64,East,9,Iowa,98,8,Texas,92,6,1992
Round of 64,Midwest,2,Southern California,84,15,Louisiana-Monroe,54,30,1992
Round of 64,Midwest,3,Arkansas,80,14,Murray State,69,11,1992
Round of 64,Midwest,6,Memphis,80,11,Pepperdine,70,10,1992
Round of 64,Midwest,7,Georgia Tech,65,10,Houston,60,5,1992
Round of 64,Southeast,1,Ohio State,83,16,Mississippi Valley,56,27,1992
Round of 64,Southeast,4,North Carolina,68,13,"Miami, Ohio",63,5,1992
Round of 64,Southeast,5,Alabama,80,12,Stanford,75,5,1992
Round of 64,Southeast,9,Connecticut,86,8,Nebraska,65,21,1992
Round of 64,West,2,Indiana,94,15,Eastern Illinois,55,39,1992
Round of 64,West,3,Florida State,78,14,Montana,68,10,1992
Round of 64,West,6,Georgetown,75,11,South Florida,60,15,1992
Round of 64,West,7,Louisiana State,94,10,Brigham Young,83,11,1992
Round of 64,East,2,Kentucky,88,15,Old Dominion,69,19,1992
Round of 64,East,3,Massachusetts,85,14,Fordham,58,27,1992
Round of 64,East,6,Syracuse,51,11,Princeton,43,8,1992
Round of 64,East,10,Iowa State,76,7,Charlotte,74,2,1992
Round of 64,Midwest,1,Kansas,100,16,Howard,67,33,1992
Round of 64,Midwest,4,Cincinnati,85,13,Delaware,47,38,1992
Round of 64,Midwest,5,Michigan State,61,12,Missouri State,54,7,1992
Round of 64,Midwest,9,Texas-El Paso,55,8,Evansville,50,5,1992
Round of 64,Southeast,2,Oklahoma State,100,15,Georgia Southern,73,27,1992
Round of 64,Southeast,6,Michigan,73,11,Temple,66,7,1992
Round of 64,Southeast,10,Tulane,61,7,"St. John's, New York",57,4,1992
Round of 64,Southeast,14,East Tennessee State,87,3,Arizona,80,7,1992
Round of 64,West,1,UCLA,73,16,Robert Morris,53,20,1992
Round of 64,West,8,Louisville,81,9,Wake Forest,58,23,1992
Round of 64,West,12,New Mexico State,81,5,DePaul,73,8,1992
Round of 64,West,13,Louisiana-Lafayette,87,4,Oklahoma,83,4,1992
Round of 32,East,1,Duke,75,9,Iowa,62,13,1992
Round of 32,East,4,Seton Hall,88,5,Missouri,71,17,1992
Round of 32,Midwest,6,Memphis,82,3,Arkansas,80,2,1992
Round of 32,Midwest,7,Georgia Tech,79,2,Southern California,78,1,1992
Round of 32,Southeast,1,Ohio State,78,9,Connecticut,55,23,1992
Round of 32,Southeast,4,North Carolina,64,5,Alabama,55,9,1992
