round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,West,1,Duke,87,16,Hampton,45,42,2011
Round of 64,West,4,Texas,85,13,Oakland,81,4,2011
Round of 64,West,5,Arizona,77,12,Memphis,75,2,2011
Round of 64,West,8,Michigan,75,9,Tennessee,45,30,2011
Round of 32,East,4,Kentucky,71,5,West Virginia,63,8,2011
Round of 32,Southeast,2,Florida,73,7,UCLA,65,8,2011
Round of 32,Southeast,3,Brigham Young,89,11,Gonzaga,67,22,2011
Round of 32,Southeast,4,Wisconsin,70,5,Kansas State,65,5,2011
Round of 32,Southeast,8,Butler,71,1,Pittsburgh,70,1,2011
Round of 32,Southwest,12,Richmond,65,13,Morehead State,48,17,2011
Round of 32,West,2,San Diego State,71,7,Temple,64,7,2011
Round of 32,West,3,Connecticut,69,6,Cincinnati,58,11,2011
Round of 32,East,1,Ohio State,98,8,George Mason,66,32,2011
Round of 32,East,2,North Carolina,86,7,Washington,83,3,2011
Round of 32,East,11,Marquette,66,3,Syracuse,62,4,2011
Round of 32,Southwest,1,Kansas,73,9,Illinois,59,14,2011
Round of 32,Southwest,10,Florida State,71,2,Notre Dame,57,14,2011
Round of 32,Southwest,11,Virginia Commonwealth,94,3,Purdue,76,18,2011
Round of 32,West,1,Duke,73,8,Michigan,71,2,2011
Round of 32,West,5,Arizona,70,4,Texas,69,1,2011
Sweet Sixteen,Southeast,2,Florida,83,3,Brigham Young,74,9,2011
Sweet Sixteen,Southeast,8,Butler,61,4,Wisconsin,54,7,2011
Sweet Sixteen,West,3,Connecticut,74,2,San Diego State,67,7,2011
Sweet Sixteen,West,5,Arizona,93,1,Duke,77,16,2011
Sweet Sixteen,East,2,North Carolina,81,11,Marquette,63,18,2011
Sweet Sixteen,East,4,Kentucky,62,1,Ohio State,60,2,2011
Sweet Sixteen,Southwest,1,Kansas,77,12,Richmond,57,20,2011
Sweet Sixteen,Southwest,11,Virginia Commonwealth,72,10,Florida State,71,1,2011
Elite Eight,Southeast,8,Butler,74,2,Florida,71,3,2011
Elite Eight,West,3,Connecticut,65,5,Arizona,63,2,2011
Elite Eight,East,4,Kentucky,76,2,North Carolina,69,7,2011
Elite Eight,Southwest,11,Virginia Commonwealth,71,1,Kansas,61,10,2011
National Semifinals,National Semifinals,3,Connecticut,56,4,Kentucky,55,1,2011
National Semifinals,National Semifinals,8,Butler,70,11,Virginia Commonwealth,62,8,2011
National Championship,National Championship,3,Connecticut,53,8,Butler,41,12,2011
Opening Round,South,16,Western Kentucky,59,16,Mississippi Valley,58,1,2012
Opening Round,West,14,Brigham Young,78,14,Iona,72,6,2012
Opening Round,Midwest,12,South Florida,65,12,California,54,11,2012
Opening Round,Midwest,16,Vermont,71,16,Lamar,59,12,2012
Round of 64,East,1,Syracuse,72,16,North Carolina-Asheville,65,7,2012
Round of 64,East,2,Ohio State,78,15,"Loyola, Maryland",59,19,2012
Round of 64,East,4,Wisconsin,73,13,Montana,49,24,2012
Round of 64,East,5,Vanderbilt,79,12,Harvard,70,9,2012
Round of 64,East,7,Gonzaga,77,10,West Virginia,54,23,2012
Round of 64,East,8,Kansas State,70,9,Southern Mississippi,64,6,2012
Round of 64,South,1,Kentucky,81,16,Western Kentucky,66,15,2012
Round of 64,South,3,Baylor,68,14,South Dakota State,60,8,2012
Round of 64,South,4,Indiana,79,13,New Mexico State,66,13,2012
Round of 64,South,8,Iowa State,77,9,Connecticut,64,13,2012
Round of 64,South,11,Colorado,68,6,Nevada-Las Vegas,64,4,2012
Round of 64,South,12,Virginia Commonwealth,62,5,Wichita State,59,3,2012
Round of 64,West,3,Marquette,88,14,Brigham Young,68,20,2012
Round of 64,West,4,Louisville,69,13,Davidson,62,7,2012
Round of 64,West,5,New Mexico,75,12,Long Beach State,68,7,2012
Round of 64,West,6,Murray State,58,11,Colorado State,41,17,2012
Round of 64,East,3,Florida State,66,14,St. Bonaventure,63,3,2012
Round of 64,East,6,Cincinnati,65,11,Texas,59,6,2012
Round of 64,Midwest,1,North Carolina,77,16,Vermont,58,19,2012
Round of 64,Midwest,2,Kansas,65,15,Detroit,50,15,2012
Round of 64,Midwest,3,Georgetown,74,14,Belmont,59,15,2012
Round of 64,Midwest,8,Creighton,58,9,Alabama,57,1,2012
Round of 64,Midwest,10,Purdue,72,7,"St. Mary's, California",69,3,2012
Round of 64,Midwest,11,North Carolina State,79,6,San Diego State,65,14,2012
Round of 64,Midwest,12,South Florida,58,5,Temple,44,14,2012
Round of 64,Midwest,13,Ohio,65,4,Michigan,60,5,2012
Round of 64,South,10,"Xavier, Ohio",67,7,Notre Dame,63,4,2012
Round of 64,South,15,Lehigh,75,2,Duke,70,5,2012
Round of 64,West,1,Michigan State,89,16,Long Island-Brooklyn,67,22,2012
Round of 64,West,7,Florida,71,10,Virginia,45,26,2012
Round of 64,West,9,St. Louis,61,8,Memphis,54,7,2012
Round of 64,West,15,Norfolk State,86,2,Missouri,84,2,2012
Round of 32,East,1,Syracuse,75,8,Kansas State,59,16,2012
Round of 32,East,2,Ohio State,73,7,Gonzaga,66,7,2012
Round of 32,East,4,Wisconsin,60,5,Vanderbilt,57,3,2012
Round of 32,South,1,Kentucky,87,8,Iowa State,71,16,2012
Round of 32,South,3,Baylor,80,11,Colorado,63,17,2012
Round of 32,South,4,Indiana,63,12,Virginia Commonwealth,61,2,2012
Round of 32,West,3,Marquette,62,6,Murray State,53,9,2012
Round of 32,West,4,Louisville,59,5,New Mexico,56,3,2012
Round of 32,East,6,Cincinnati,62,3,Florida State,56,6,2012
Round of 32,Midwest,1,North Carolina,87,8,Creighton,73,14,2012
Round of 32,Midwest,2,Kansas,63,10,Purdue,60,3,2012
Round of 32,Midwest,11,North Carolina State,66,3,Georgetown,63,3,2012
Round of 32,Midwest,13,Ohio,62,12,South Florida,56,6,2012
Round of 32,South,10,"Xavier, Ohio",70,15,Lehigh,58,12,2012
Round of 32,West,1,Michigan State,65,9,St. Louis,61,4,2012
Round of 32,West,7,Florida,84,15,Norfolk State,50,34,2012
Sweet Sixteen,East,1,Syracuse,64,4,Wisconsin,63,1,2012
Sweet Sixteen,East,2,Ohio State,81,6,Cincinnati,66,15,2012
Sweet Sixteen,West,4,Louisville,57,1,Michigan State,44,13,2012
Sweet Sixteen,West,7,Florida,68,3,Marquette,58,10,2012
Sweet Sixteen,Midwest,1,North Carolina,73,13,Ohio,65,8,2012
Sweet Sixteen,Midwest,2,Kansas,60,11,North Carolina State,57,3,2012
Sweet Sixteen,South,1,Kentucky,102,4,Indiana,90,12,2012
Sweet Sixteen,South,3,Baylor,75,10,"Xavier, Ohio",70,5,2012
Elite Eight,East,2,Ohio State,77,1,Syracuse,70,7,2012
Elite Eight,West,4,Louisville,72,7,Florida,68,4,2012
Elite Eight,Midwest,2,Kansas,80,1,North Carolina,67,13,2012
Elite Eight,South,1,Kentucky,82,3,Baylor,70,12,2012
National Semifinals,National Semifinals,1,Kentucky,69,4,Louisville,61,8,2012
National Semifinals,National Semifinals,2,Kansas,64,2,Ohio State,62,2,2012
National Championship,National Championship,1,Kentucky,67,2,Kansas,59,8,2012
Opening Round,Midwest,11,"St. Mary's, California",67,11,Middle Tennessee State,54,13,2013
Opening Round,Midwest,16,North Carolina A&T,73,16,Liberty,72,1,2013
Opening Round,East,16,James Madison,68,16,Long Island-Brooklyn,55,13,2013
Opening Round,West,13,La Salle,80,13,Boise State,71,9,2013
Round of 64,East,3,Marquette,59,14,Davidson,58,1,2013
Round of 64,East,4,Syracuse,81,13,Montana,34,47,2013
Round of 64,East,6,Butler,68,11,Bucknell,56,12,2013
Round of 64,East,12,California,64,5,Nevada-Las Vegas,61,3,2013
Round of 64,Midwest,1,Louisville,79,16,North Carolina A&T,48,31,2013
Round of 64,Midwest,3,Michigan State,65,14,Valparaiso,54,11,2013
Round of 64,Midwest,4,St. Louis,64,13,New Mexico State,44,20,2013
Round of 64,Midwest,6,Memphis,54,11,"St. Mary's, California",52,2,2013
Round of 64,Midwest,8,Colorado State,84,9,Missouri,72,12,2013
Round of 64,Midwest,12,Oregon,68,5,Oklahoma State,55,13,2013
Round of 64,South,4,Michigan,71,13,South Dakota State,56,15,2013
Round of 64,South,5,Virginia Commonwealth,88,12,Akron,42,46,2013
Round of 64,West,1,Gonzaga,64,16,Southern,58,6,2013
Round of 64,West,6,Arizona,81,11,Belmont,64,17,2013
Round of 64,West,9,Wichita State,73,8,Pittsburgh,55,18,2013
Round of 64,West,14,Harvard,68,3,New Mexico,62,6,2013
Round of 64,East,1,Indiana,83,16,James Madison,62,21,2013
Round of 64,East,2,"Miami, Florida",78,15,"Pacific, California",49,29,2013
Round of 64,East,7,Illinois,57,10,Colorado,49,8,2013
Round of 64,East,9,Temple,76,8,North Carolina State,72,4,2013
Round of 64,Midwest,2,Duke,73,15,Albany,61,12,2013
Round of 64,Midwest,7,Creighton,67,10,Cincinnati,63,4,2013
Round of 64,South,1,Kansas,64,16,Western Kentucky,57,7,2013
Round of 64,South,3,Florida,79,14,Northwestern State,47,32,2013
Round of 64,South,7,San Diego State,70,10,Oklahoma,55,15,2013
Round of 64,South,8,North Carolina,78,9,Villanova,71,7,2013
Round of 64,South,11,Minnesota,83,6,UCLA,63,20,2013
Round of 64,South,15,Florida Gulf Coast,78,2,Georgetown,68,10,2013
Round of 64,West,2,Ohio State,95,15,Iona,70,25,2013
Round of 64,West,10,Iowa State,76,7,Notre Dame,58,18,2013
Round of 64,West,12,Mississippi,57,5,Wisconsin,46,11,2013
Round of 64,West,13,La Salle,63,4,Kansas State,61,2,2013
Round of 32,East,3,Marquette,74,6,Butler,72,2,2013
Round of 32,East,4,Syracuse,66,12,California,60,6,2013
Round of 32,Midwest,1,Louisville,82,8,Colorado State,56,26,2013
Round of 32,Midwest,3,Michigan State,70,6,Memphis,48,22,2013
Round of 32,Midwest,12,Oregon,74,4,St. Louis,57,17,2013
Round of 32,South,4,Michigan,78,5,Virginia Commonwealth,53,25,2013
Round of 32,West,6,Arizona,74,14,Harvard,51,23,2013
Round of 32,West,9,Wichita State,76,1,Gonzaga,70,6,2013
Round of 32,East,1,Indiana,58,9,Temple,52,6,2013
Round of 32,East,2,"Miami, Florida",63,7,Illinois,59,4,2013
Round of 32,Midwest,2,Duke,66,7,Creighton,50,16,2013
Round of 32,South,1,Kansas,70,8,North Carolina,58,12,2013
Round of 32,South,3,Florida,78,11,Minnesota,64,14,2013
Round of 32,South,15,Florida Gulf Coast,81,7,San Diego State,71,10,2013
Round of 32,West,2,Ohio State,78,10,Iowa State,75,3,2013
Round of 32,West,13,La Salle,76,12,Mississippi,74,2,2013
Sweet Sixteen,East,3,Marquette,71,2,"Miami, Florida",61,10,2013
Sweet Sixteen,East,4,Syracuse,61,1,Indiana,50,11,2013
Sweet Sixteen,West,2,Ohio State,73,6,Arizona,70,3,2013
Sweet Sixteen,West,9,Wichita State,72,13,La Salle,58,14,2013
Sweet Sixteen,Midwest,1,Louisville,77,12,Oregon,69,8,2013
Sweet Sixteen,Midwest,2,Duke,71,3,Michigan State,61,10,2013
Sweet Sixteen,South,3,Florida,62,15,Florida Gulf Coast,50,12,2013
Sweet Sixteen,South,4,Michigan,87,1,Kansas,85,2,2013
Elite Eight,East,4,Syracuse,55,3,Marquette,39,16,2013
Elite Eight,West,9,Wichita State,70,2,Ohio State,66,4,2013
Elite Eight,Midwest,1,Louisville,85,2,Duke,63,22,2013
Elite Eight,South,4,Michigan,79,3,Florida,59,20,2013
National Semifinals,NA,1,Louisville,72,9,Wichita State,68,4,2013
National Semifinals,NA,4,Michigan,61,4,Syracuse,56,5,2013
National Championship,NA,1,Louisville,82,4,Michigan,76,6,2013
Opening Round,Midwest,12,North Carolina State,74,12,"Xavier, Ohio",59,15,2014
Opening Round,South,16,Albany,71,16,"Mt. St. Mary's, Maryland",64,7,2014
Opening Round,Midwest,11,Tennessee,78,11,Iowa,65,13,2014
Opening Round,Midwest,16,Cal Poly,81,16,Texas Southern,69,12,2014
Round of 64,East,2,Villanova,73,15,Milwaukee,53,20,2014
Round of 64,East,4,Michigan State,93,13,Delaware,78,15,2014
Round of 64,East,7,Connecticut,89,10,"St. Joseph's, Pennsylvania",81,8,2014
Round of 64,East,12,Harvard,61,5,Cincinnati,57,4,2014
Round of 64,Midwest,2,Michigan,57,15,Wofford,40,17,2014
Round of 64,Midwest,4,Louisville,71,13,Manhattan,64,7,2014
Round of 64,Midwest,5,St. Louis,83,12,North Carolina State,80,3,2014
Round of 64,Midwest,7,Texas,87,10,Arizona State,85,2,2014
Round of 64,South,1,Florida,67,16,Albany,55,12,2014
Round of 64,South,3,Syracuse,77,14,Western Michigan,53,24,2014
Round of 64,South,9,Pittsburgh,77,8,Colorado,48,29,2014
Round of 64,South,11,Dayton,60,6,Ohio State,59,1,2014
Round of 64,West,2,Wisconsin,75,15,American,35,40,2014
Round of 64,West,4,San Diego State,73,13,New Mexico State,69,4,2014
Round of 64,West,7,Oregon,87,10,Brigham Young,68,19,2014
Round of 64,West,12,North Dakota State,80,5,Oklahoma,75,5,2014
Round of 64,East,1,Virginia,70,16,Coastal Carolina,59,11,2014
Round of 64,East,3,Iowa State,93,14,North Carolina Central,75,18,2014
Round of 64,East,6,North Carolina,79,11,Providence,77,2,2014
Round of 64,East,8,Memphis,71,9,George Washington,66,5,2014
Round of 64,Midwest,1,Wichita State,64,16,Cal Poly,37,27,2014
Round of 64,Midwest,8,Kentucky,56,9,Kansas State,49,7,2014
Round of 64,Midwest,11,Tennessee,86,6,Massachusetts,67,19,2014
Round of 64,Midwest,14,Mercer,78,3,Duke,71,7,2014
Round of 64,South,2,Kansas,80,15,Eastern Kentucky,69,11,2014
Round of 64,South,4,UCLA,76,13,Tulsa,59,17,2014
Round of 64,South,10,Stanford,58,7,New Mexico,53,5,2014
Round of 64,South,12,Stephen F. Austin,77,5,Virginia Commonwealth,75,2,2014
Round of 64,West,1,Arizona,68,16,Weber State,59,9,2014
Round of 64,West,3,Creighton,76,14,Louisiana-Lafayette,66,10,2014
Round of 64,West,6,Baylor,74,11,Nebraska,60,14,2014
Round of 64,West,8,Gonzaga,85,9,Oklahoma State,77,8,2014
Round of 32,East,4,Michigan State,80,12,Harvard,73,7,2014
Round of 32,East,7,Connecticut,77,2,Villanova,65,12,2014
Round of 32,Midwest,2,Michigan,79,7,Texas,65,14,2014
Round of 32,Midwest,4,Louisville,66,5,St. Louis,51,15,2014
Round of 32,South,1,Florida,61,9,Pittsburgh,45,16,2014
Round of 32,South,11,Dayton,55,3,Syracuse,53,2,2014
Round of 32,West,2,Wisconsin,85,7,Oregon,77,8,2014
Round of 32,West,4,San Diego State,63,12,North Dakota State,44,19,2014
Round of 32,East,1,Virginia,78,8,Memphis,60,18,2014
Round of 32,East,3,Iowa State,85,6,North Carolina,83,2,2014
Round of 32,Midwest,8,Kentucky,78,1,Wichita State,76,2,2014
Round of 32,Midwest,11,Tennessee,83,14,Mercer,63,20,2014
Round of 32,South,4,UCLA,77,12,Stephen F. Austin,60,17,2014
Round of 32,South,10,Stanford,60,2,Kansas,57,3,2014
Round of 32,West,1,Arizona,84,8,Gonzaga,61,23,2014
Round of 32,West,6,Baylor,85,3,Creighton,55,30,2014
Sweet Sixteen,South,1,Florida,79,4,UCLA,68,11,2014
Sweet Sixteen,South,11,Dayton,82,10,Stanford,72,10,2014
Sweet Sixteen,West,1,Arizona,70,4,San Diego State,64,6,2014
Sweet Sixteen,West,2,Wisconsin,69,6,Baylor,52,17,2014
Sweet Sixteen,East,4,Michigan State,61,1,Virginia,59,2,2014
Sweet Sixteen,East,7,Connecticut,81,3,Iowa State,76,5,2014
Sweet Sixteen,Midwest,2,Michigan,73,11,Tennessee,71,2,2014
Sweet Sixteen,Midwest,8,Kentucky,74,4,Louisville,69,5,2014
Elite Eight,South,1,Florida,62,11,Dayton,52,10,2014
Elite Eight,West,2,Wisconsin,64,1,Arizona,63,1,2014
Elite Eight,East,7,Connecticut,60,4,Michigan State,54,6,2014
Elite Eight,Midwest,8,Kentucky,75,2,Michigan,72,3,2014
National Semifinals,NA,7,Connecticut,63,1,Florida,53,10,2014
National Semifinals,NA,8,Kentucky,74,2,Wisconsin,73,1,2014
National Championship,NA,7,Connecticut,60,8,Kentucky,54,6,2014
Opening Round,Midwest,16,Hampton,74,16,Manhattan,64,10,2015
Opening Round,West,11,Mississippi,94,11,Brigham Young,90,4,2015
Opening Round,East,11,Dayton,56,11,Boise State,55,1,2015
Opening Round,South,16,Robert Morris,81,16,North Florida,77,4,2015
Round of 64,East,1,Villanova,93,16,Lafayette,52,41,2015
Round of 64,East,8,North Carolina State,66,9,Louisiana State,65,1,2015
Round of 64,Midwest,1,Kentucky,79,16,Hampton,56,23,2015
Round of 64,Midwest,3,Notre Dame,69,14,Northeastern,65,4,2015
Round of 64,Midwest,6,Butler,56,11,Texas,48,8,2015
Round of 64,Midwest,8,Cincinnati,66,9,Purdue,65,1,2015
Round of 64,South,4,Georgetown,84,13,Eastern Washington,74,10,2015
Round of 64,South,5,Utah,57,12,Stephen F. Austin,50,7,2015
Round of 64,South,11,UCLA,60,6,Southern Methodist,59,1,2015
Round of 64,South,14,UAB,60,3,Iowa State,59,1,2015
Round of 64,West,2,Arizona,93,15,Texas Southern,72,21,2015
Round of 64,West,4,North Carolina,67,13,Harvard,65,2,2015
Round of 64,West,5,Arkansas,56,12,Wofford,53,3,2015
Round of 64,West,6,"Xavier, Ohio",76,11,Mississippi,57,19,2015
Round of 64,West,10,Ohio State,75,7,Virginia Commonwealth,72,3,2015
Round of 64,West,14,Georgia State,57,3,Baylor,56,1,2015
Round of 64,East,2,Virginia,79,15,Belmont,67,12,2015
Round of 64,East,3,Oklahoma,69,14,Albany,60,9,2015
Round of 64,East,4,Louisville,57,13,California-Irvine,55,2,2015
Round of 64,East,5,Northern Iowa,71,12,Wyoming,54,17,2015
Round of 64,East,7,Michigan State,70,10,Georgia,63,7,2015
Round of 64,East,11,Dayton,66,6,Providence,53,13,2015
Round of 64,Midwest,2,Kansas,75,15,New Mexico State,56,19,2015
Round of 64,Midwest,4,Maryland,65,13,Valparaiso,62,3,2015
Round of 64,Midwest,5,West Virginia,68,12,Buffalo,62,6,2015
Round of 64,Midwest,7,Wichita State,81,10,Indiana,76,5,2015
Round of 64,South,1,Duke,85,16,Robert Morris,56,29,2015
Round of 64,South,2,Gonzaga,86,15,North Dakota State,76,10,2015
Round of 64,South,7,Iowa,83,10,Davidson,52,31,2015
Round of 64,South,8,San Diego State,76,9,"St. John's, New York",64,12,2015
Round of 64,West,1,Wisconsin,86,16,Coastal Carolina,72,14,2015
Round of 64,West,8,Oregon,79,9,Oklahoma State,73,6,2015
Round of 32,East,8,North Carolina State,71,1,Villanova,68,3,2015
Round of 32,Midwest,1,Kentucky,64,8,Cincinnati,51,13,2015
Round of 32,Midwest,3,Notre Dame,67,6,Butler,64,3,2015
Round of 32,South,5,Utah,75,4,Georgetown,64,11,2015
Round of 32,South,11,UCLA,92,14,UAB,75,17,2015
Round of 32,West,2,Arizona,73,10,Ohio State,58,15,2015
Round of 32,West,4,North Carolina,87,5,Arkansas,78,9,2015
Round of 32,West,6,"Xavier, Ohio",75,14,Georgia State,67,8,2015
Round of 32,East,3,Oklahoma,72,11,Dayton,66,6,2015
Round of 32,East,4,Louisville,66,5,Northern Iowa,53,13,2015
Round of 32,East,7,Michigan State,60,2,Virginia,54,6,2015
Round of 32,Midwest,5,West Virginia,69,4,Maryland,59,10,2015
Round of 32,Midwest,7,Wichita State,78,2,Kansas,65,13,2015
Round of 32,South,1,Duke,68,8,San Diego State,49,19,2015
Round of 32,South,2,Gonzaga,87,7,Iowa,69,18,2015
Round of 32,West,1,Wisconsin,72,8,Oregon,65,7,2015
Sweet Sixteen,Midwest,1,Kentucky,78,5,West Virginia,39,39,2015
Sweet Sixteen,Midwest,3,Notre Dame,81,7,Wichita State,70,11,2015
Sweet Sixteen,West,1,Wisconsin,79,4,North Carolina,72,7,2015
Sweet Sixteen,West,2,Arizona,68,6,"Xavier, Ohio",60,8,2015
Sweet Sixteen,East,4,Louisville,75,8,North Carolina State,65,10,2015
Sweet Sixteen,East,7,Michigan State,62,3,Oklahoma,58,4,2015
Sweet Sixteen,South,1,Duke,63,5,Utah,57,6,2015
Sweet Sixteen,South,2,Gonzaga,74,11,UCLA,62,12,2015
Elite Eight,Midwest,1,Kentucky,68,3,Notre Dame,66,2,2015
Elite Eight,West,1,Wisconsin,85,2,Arizona,78,7,2015
Elite Eight,East,7,Michigan State,76,4,Louisville,70,6,2015
Elite Eight,South,1,Duke,66,2,Gonzaga,52,14,2015
National Semifinals,NA,1,Duke,81,7,Michigan State,61,20,2015
National Semifinals,NA,1,Wisconsin,71,1,Kentucky,64,7,2015
National Championship,NA,1,Duke,68,1,Wisconsin,63,5,2015
Opening Round,East,16,Florida Gulf Coast,96,16,Fairleigh Dickinson,65,31,2016
Opening Round,South,11,Wichita State,70,11,Vanderbilt,50,20,2016
Opening Round,East,11,Michigan,67,11,Tulsa,62,5,2016
Opening Round,West,16,Holy Cross,59,16,Southern,55,4,2016
Round of 64,East,1,North Carolina,83,16,Florida Gulf Coast,67,16,2016
Round of 64,East,4,Kentucky,85,13,Stony Brook,57,28,2016
Round of 64,East,5,Indiana,99,12,Chattanooga,74,25,2016
Round of 64,East,9,Providence,70,8,Southern California,69,1,2016
Round of 64,Midwest,1,Virginia,81,16,Hampton,45,36,2016
Round of 64,Midwest,3,Utah,80,14,Fresno State,69,11,2016
Round of 64,Midwest,4,Iowa State,94,13,Iona,81,13,2016
Round of 64,Midwest,9,Butler,71,8,Texas Tech,61,10,2016
Round of 64,Midwest,11,Gonzaga,68,6,Seton Hall,52,16,2016
Round of 64,Midwest,12,Arkansas-Little Rock,85,5,Purdue,83,2,2016
Round of 64,South,1,Kansas,105,16,Austin Peay,79,26,2016
Round of 64,South,3,"Miami, Florida",79,14,Buffalo,72,7,2016
Round of 64,South,9,Connecticut,74,8,Colorado,67,7,2016
Round of 64,South,11,Wichita State,65,6,Arizona,55,10,2016
Round of 64,West,4,Duke,93,13,North Carolina-Wilmington,85,8,2016
Round of 64,West,12,Yale,79,5,Baylor,75,4,2016
Round of 64,East,2,"Xavier, Ohio",71,15,Weber State,53,18,2016
Round of 64,East,6,Notre Dame,70,11,Michigan,63,7,2016
Round of 64,East,7,Wisconsin,47,10,Pittsburgh,43,4,2016
Round of 64,East,14,Stephen F. Austin,70,3,West Virginia,56,14,2016
Round of 64,Midwest,10,Syracuse,70,7,Dayton,51,19,2016
Round of 64,Midwest,15,Middle Tennessee State,90,2,Michigan State,81,9,2016
Round of 64,South,2,Villanova,86,15,North Carolina-Asheville,56,30,2016
Round of 64,South,5,Maryland,79,12,South Dakota State,74,5,2016
Round of 64,South,7,Iowa,72,10,Temple,70,2,2016
Round of 64,South,13,Hawaii,77,4,California,66,11,2016
Round of 64,West,1,Oregon,91,16,Holy Cross,52,39,2016
Round of 64,West,2,Oklahoma,82,15,California State-Bakersfield,68,14,2016
Round of 64,West,3,Texas A&M,92,14,Green Bay,65,27,2016
Round of 64,West,8,"St. Joseph's, Pennsylvania",78,9,Cincinnati,76,2,2016
Round of 64,West,10,Virginia Commonwealth,75,7,Oregon State,67,8,2016
Round of 64,West,11,Northern Iowa,75,6,Texas,72,3,2016
Round of 32,East,1,North Carolina,85,9,Providence,66,19,2016
Round of 32,East,5,Indiana,73,4,Kentucky,67,6,2016
Round of 32,Midwest,1,Virginia,77,9,Butler,69,8,2016
Round of 32,Midwest,4,Iowa State,78,12,Arkansas-Little Rock,61,17,2016
Round of 32,Midwest,11,Gonzaga,82,3,Utah,59,23,2016
Round of 32,South,1,Kansas,73,9,Connecticut,61,12,2016
Round of 32,South,3,"Miami, Florida",65,11,Wichita State,57,8,2016
Round of 32,West,4,Duke,71,12,Yale,64,7,2016
Round of 32,East,6,Notre Dame,76,14,Stephen F. Austin,75,1,2016
Round of 32,East,7,Wisconsin,66,2,"Xavier, Ohio",63,3,2016
Round of 32,Midwest,10,Syracuse,75,15,Middle Tennessee State,50,25,2016
Round of 32,South,2,Villanova,87,7,Iowa,68,19,2016
Round of 32,South,5,Maryland,73,13,Hawaii,60,13,2016
Round of 32,West,1,Oregon,69,8,"St. Joseph's, Pennsylvania",64,5,2016
Round of 32,West,2,Oklahoma,85,10,Virginia Commonwealth,81,4,2016
Round of 32,West,3,Texas A&M,92,11,Northern Iowa,88,4,2016
Sweet Sixteen,South,1,Kansas,79,5,Maryland,63,16,2016
Sweet Sixteen,South,2,Villanova,92,3,"Miami, Florida",69,23,2016
Sweet Sixteen,West,1,Oregon,82,4,Duke,68,14,2016
Sweet Sixteen,West,2,Oklahoma,77,3,Texas A&M,63,14,2016
Sweet Sixteen,East,1,North Carolina,101,5,Indiana,86,15,2016
Sweet Sixteen,East,6,Notre Dame,61,7,Wisconsin,56,5,2016
Sweet Sixteen,Midwest,1,Virginia,84,4,Iowa State,71,13,2016
Sweet Sixteen,Midwest,10,Syracuse,63,11,Gonzaga,60,3,2016
Elite Eight,South,2,Villanova,64,1,Kansas,59,5,2016
Elite Eight,West,2,Oklahoma,80,1,Oregon,68,12,2016
Elite Eight,East,1,North Carolina,88,6,Notre Dame,74,14,2016
Elite Eight,Midwest,10,Syracuse,68,1,Virginia,62,6,2016
National Semifinals,NA,1,North Carolina,83,10,Syracuse,66,17,2016
National Semifinals,NA,2,Villanova,95,2,Oklahoma,51,44,2016
National Championship,NA,2,Villanova,77,1,North Carolina,74,3,2016
